iter	Passed	Remaining
0	1	172
1	2	133
2	3	111
3	4	97
4	4	90
5	5	84
6	6	80
7	6	77
8	7	74
9	8	72
10	8	70
11	9	67
12	9	65
13	10	63
14	10	62
15	11	60
16	12	59
17	12	57
18	13	56
19	13	55
20	14	54
21	14	52
22	15	51
23	16	50
24	16	49
25	17	48
26	17	48
27	18	47
28	18	46
29	19	45
30	19	44
31	20	43
32	21	42
33	21	42
34	22	41
35	22	40
36	23	39
37	23	38
38	24	38
39	24	37
40	25	36
41	26	36
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	31
48	29	31
49	30	30
50	30	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	41	17
70	42	17
71	42	16
72	43	16
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	47	11
81	48	10
82	48	9
83	49	9
84	49	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	58	0
99	58	0
